codigo_autor;nome_na_fonte;deputado_id;nome_camara;sinais;n_sinais;classe;ufs_do_gasto;conferido_por_humano
4291;ADAIL FILHO;220714;Adail Filho;nome;1;1 sinais;;
3902;AJ ALBUQUERQUE;204549;AJ Albuquerque;nome;1;1 sinais;;
3046;ANDRE FUFUCA;178882;ANDRÉ FUFUCA;nome;1;1 sinais;;
4307;ANTONIO DOIDO;220675;Antônio Doido;nome;1;1 sinais;;
4313;BETO PRETO;220698;Beto Preto;nome;1;1 sinais;;
4314;BETO RICHA;220683;Beto Richa;nome;1;1 sinais;;
3926;CAPITAO ALBERTO NETO;204572;Capitão Alberto Neto;nome;1;1 sinais;;
3064;CAPITAO AUGUSTO;178829;CAPITÃO AUGUSTO;nome;1;1 sinais;;
4201;CARLOS FAVARO;SF6295;Carlos Fávaro;nome;1;1 sinais;;
3938;CEZINHA DE MADUREIRA;204504;Cezinha de Madureira;nome;1;1 sinais;;
2900;CIRO NOGUEIRA;SF739;Ciro Nogueira;nome;1;1 sinais;;
4267;CLEITINHO;SF6337;Cleitinho;nome;1;1 sinais;;
3945;CORONEL CHRISOSTOMO;204378;Coronel Chrisóstomo;nome;1;1 sinais;;
3787;DAVI ALCOLUMBRE;SF3830;Davi Alcolumbre;nome;1;1 sinais;;
4354;DETINHA;220689;Detinha;nome;1;1 sinais;;
4359;DR. BENJAMIM;221339;Dr Benjamim;nome;1;1 sinais;;
3960;DR. FREDERICO;204518;DR. FREDERICO;nome;1;1 sinais;;
4362;DR. VICTOR LINHALIS;220528;Dr. Victor Linhalis;nome;1;1 sinais;;
4363;DRA. ALESSANDRA HABER;220674;Dra. Alessandra Haber;nome;1;1 sinais;;
4543;DRA. MAYRA PINHEIRO;230088;Dra. Mayra Pinheiro;nome;1;1 sinais;;
2909;EDUARDO BRAGA;SF4994;Eduardo Braga;nome;1;1 sinais;;
3093;EVAIR VIEIRA DE MELO;178871;EVAIR DE MELO;tokens;1;1 sinais;;
4371;FAUSTO SANTOS JR.;220712;Fausto Santos Jr.;nome;1;1 sinais;;
4101;GUSTINHO RIBEIRO;204408;Gustinho Ribeiro;nome;1;1 sinais;SP;
4016;HERCILIO COELHO DINIZ;204539;Hercílio Coelho Diniz;nome;1;1 sinais;;
4018;ISNALDO BULHOES JR.;204436;Isnaldo Bulhões Jr.;nome;1;1 sinais;;
4136;IZALCI LUCAS;SF4770;Izalci Lucas;nome;1;1 sinais;;
9206;JORGE KAJURU;SF5895;Jorge Kajuru;nome;1;1 sinais;;
4400;JOSENILDO;220578;Josenildo;nome;1;1 sinais;;
4024;JOSIMAR MARANHAOZINHO;204563;Josimar Maranhãozinho;nome;1;1 sinais;;
2762;LUIS TIBE;160510;LUIS TIBE;nome;1;1 sinais;;
9224;MARCOS ROGERIO;SF5422;Marcos Rogério;nome;1;1 sinais;;
3794;OMAR AZIZ;SF5525;Omar Aziz;nome;1;1 sinais;;
4448;PEZENTI;161440;Pezenti;nome;1;1 sinais;;
4057;PINHEIRINHO;204524;Pinheirinho;nome;1;1 sinais;;
4200;RIBAMAR ANTONIO DA SILVA (EX-PARLAMENTAR RICARDO SILVA, NOS TERMOS ART. 78 LDO 2;175765;Ribamar Silva;tokens;1;1 sinais;;
2818;TIRIRICA;160976;TIRIRICA;nome;1;1 sinais;;
4074;VERMELHO;204396;VERMELHO;nome;1;1 sinais;;
2969;WILDER MORAIS;SF5070;Wilder Morais;nome;1;1 sinais;;
3900;ADRIANO DO BALDY;121948;ADRIANO DO BALDY;nome,UF;2;2 sinais;GO;
2098;AFONSO HAMM;136811;AFONSO HAMM;nome,UF;2;2 sinais;RS;
3901;AIRTON FALEIRO;204495;AIRTON LUIZ FALEIRO;tokens,UF;2;2 sinais;PA;
4394;ALAN RICK;SF5672;Alan Rick;nome,UF;2;2 sinais;AC,SP;
4293;ALBUQUERQUE;220538;Albuquerque;nome,UF;2;2 sinais;RR;
4144;ALESSANDRO VIEIRA;SF5982;Alessandro Vieira;nome,UF;2;2 sinais;SE;
3037;ALEX MANENTE;178972;ALEX MANENTE;nome,tokens;2;2 sinais;;
2796;ALEXANDRE LEITE;160545;ALEXANDRE LEITE;nome,tokens;2;2 sinais;;
4258;ALFREDINHO;221148;Alfredinho;nome,UF;2;2 sinais;SP;
4300;ANA PAULA LEAO;107970;Ana Paula Leão;nome,UF;2;2 sinais;MG;
4283;ANA PAULA LOBATO;SF6358;Ana Paula Lobato;nome,UF;2;2 sinais;MA;
4304;ANDREIA SIQUEIRA;220676;Andreia Siqueira;nome,tokens;2;2 sinais;;
4179;ANGELO CORONEL;SF5967;Angelo Coronel;nome,UF;2;2 sinais;BA;
2686;ANTONIA LUCIA;123756;ANTÔNIA LÚCIA;nome,UF;2;2 sinais;AC;
3135;ARLINDO CHINAGLIA;73433;ARLINDO CHINAGLIA;nome,UF;2;2 sinais;SP;
4265;ASTRONAUTA MARCOS PONTES;SF6009;Astronauta Marcos Pontes;nome,UF;2;2 sinais;SP;
2778;AUREO RIBEIRO;160512;AUREO;tokens,UF;2;2 sinais;RJ;
3051;BACELAR;69871;BACELAR;nome,UF;2;2 sinais;BA;
4312;BEBETO;220612;Bebeto;nome,UF;2;2 sinais;RJ;
4266;BETO FARO;SF4639;Beto Faro;nome,UF;2;2 sinais;PA;
3918;BETO PEREIRA;204358;Beto Pereira;nome,UF;2;2 sinais;MS;
3919;BIA KICIS;204374;Bia Kicis;nome,UF;2;2 sinais;DF;
2862;BOHN GASS;160538;ELVINO BOHN GASS;tokens,UF;2;2 sinais;RS;
4315;BRUNO FARIAS;210989;Bruno Farias;nome,tokens;2;2 sinais;;
4317;CABO GILBERTO SILVA;220574;Cabo Gilberto Silva;nome,UF;2;2 sinais;PB;
4319;CAPITAO ALDEN;220690;Capitão Alden;nome,UF;2;2 sinais;BA;
